"COUNTRY","INDEX_TYPE","COICOP_1999","TYPE_OF_TRANSFORMATION","FREQUENCY","TIME_PERIOD","OBS_VALUE","SCALE"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1988-M06","56.61914","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1988-M07","56.61914","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1988-M08","56.55727","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1988-M09","56.61914","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1988-M10","56.68103","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1988-M11","56.86666","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1988-M12","56.99042","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1989-M01","57.48545","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1989-M02","57.67109","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1989-M03","57.73297","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1989-M04","58.10424","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1989-M05","58.16612","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1989-M06","58.228","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1989-M07","58.16612","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1989-M08","58.16612","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1989-M09","58.228","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1989-M10","58.41363","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1989-M11","58.53739","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1989-M12","58.72303","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1990-M01","59.03242","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1990-M02","59.27994","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1990-M03","59.27994","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1990-M04","59.40369","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1990-M05","59.52745","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1990-M06","59.58933","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1990-M07","59.58933","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1990-M08","59.77497","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1990-M09","59.96061","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1990-M10","60.39376","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1990-M11","60.27","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1990-M12","60.33188","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1991-M01","60.70315","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1991-M02","60.96862","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1991-M03","60.96862","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1991-M04","61.23408","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1991-M05","61.41106","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1991-M06","61.76501","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1991-M07","62.47292","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1991-M08","62.47292","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1991-M09","62.47292","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1991-M10","63.4463","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1991-M11","63.71176","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1991-M12","63.80025","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1992-M01","64.15421","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1992-M02","64.50816","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1992-M03","64.77362","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1992-M04","65.03909","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1992-M05","65.21606","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1992-M06","65.39304","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1992-M07","65.57002","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1992-M08","65.57002","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1992-M09","65.57002","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1992-M10","65.57002","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1992-M11","65.83549","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1992-M12","65.92397","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1993-M01","67.07433","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1993-M02","67.60526","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1993-M03","67.78223","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1993-M04","67.95921","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1993-M05","68.0477","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1993-M06","68.22468","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1993-M07","68.57863","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1993-M08","68.57863","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1993-M09","68.49014","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1993-M10","68.49014","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1993-M11","68.57863","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1993-M12","68.75561","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1994-M01","69.10957","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1994-M02","69.6405","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1994-M03","69.72898","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1994-M04","69.81747","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1994-M05","69.99445","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1994-M06","70.08294","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1994-M07","70.25991","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1994-M08","70.43689","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1994-M09","70.25991","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1994-M10","70.17142","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1994-M11","70.25991","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1994-M12","70.43689","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1995-M01","70.70235","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1995-M02","71.05631","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1995-M03","71.05631","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1995-M04","71.1448","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1995-M05","71.1448","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1995-M06","71.23329","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1995-M07","71.41026","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1995-M08","71.41026","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1995-M09","71.41026","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1995-M10","71.23329","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1995-M11","71.23329","Units"
"Germany","Consumer price index (CPI)","All Items","Index","Monthly","1995-M12","71.49876","Units"
